,idx,Word1,POS1,Word2,POS2,Context1,Context2,mean,AutoExtend,AutoExtend_s1,AutoExtend_s2,GlossTfIdf,GlossTfIdf_s1,GlossTfIdf_s2,GlossAve,GlossAve_s1,GlossAve_s2,Word,Word_s1,Word_s2
0,1,Brazil,n,nut,n,"gap in income between blacks and other non-whites is relatively small compared to the large gap between whites and non-whites . Other factors such as illiteracy and education level show the same patterns . Unlike in the US where African Americans were united in the civil rights struggle , in <b> Brazil </b> the philosophy of whitening has helped divide blacks from other non-whites and prevented a more active civil rights movement . Though Afro-Brazilians make up half the population there are very few black politicians . The city of Salvador , Bahia for instance is 80 % Afro-Brazilian but has never","of the neck , bridge , and pickups , there are features which are found in almost every guitar . The photo below shows the different parts of an electric guitar . The headstock ( 1 ) contains the metal machine heads , which are used for tuning ; the <b> nut </b> ( 1.4 ) , a thin fret-like strip of metal , plastic , graphite or bone which the strings pass over as they first go onto the fingerboard ; the machine heads ( 1.1 ) , which are worm gears which the player turns to change the string tension",1.1,0.2442269045437906,brazil_nut.n.02,nut.n.03,0.2801094707605904,brazil.n.01,nut.n.03,0.37539254695612156,brazil.n.01,nut.n.03,0.3103420889510106,brazil_nut.n.02,testis.n.01
1,2,Brazil,n,triple,n,"being elected , has not used the word genocide in his first annual April 24 speech in 2009 . Countries with diplomatic relations . Armenia currently has diplomatic relations with 153 countries . These include : Albania , Andorra , Australia , Austria , Belarus , Belgium , Benin , <b> Brazil </b> , Bulgaria , Canada , Chad , Chile , the People 's Republic of China , Cote d'Ivoire , Croatia , Cuba , Cyprus , Czech Republic , Denmark , Egypt , East Timor , Equatorial Guinea , Estonia , Ethiopia , Finland , France , Georgia , Germany","Pythagorean triple . A Pythagorean <b> triple </b> consists of three positive integers "" a "" , "" b "" , and "" c "" , such that . Such a triple is commonly written , and a well-known example is . If is a Pythagorean triple , then so is ( "" ka "" , """,0.6,-0.027198373572900898,brazil.n.01,triple.n.02,0.3032166355307375,brazil.n.01,triple.n.02,0.4165003376016345,brazil.n.01,triple.n.02,-0.023770045157047857,brazil_nut.n.02,triple.n.01
2,3,CD,n,aglow,a,"other official languages , except for English . More than 300 titles in Afrikaans are published per year . Through all the problems of depreciation and migration that Afrikaans faces today , the language still competes well , with Afrikaans DSTV channels ( pay channels ) and high newspaper and <b> CD </b> sales as well as popular internet sites . The incredible resurgence in Afrikaans popular music ( from the late 1990s ) has added new momentum to the language especially among the younger generations in South Africa . The latest contribution to building the Afrikaans language is the availability of",". In some places the shock wave would have been equivalent to an earthquake of 5.0 on the Richter scale . It also produced fluctuations in atmospheric pressure strong enough to be detected in Great Britain . Over the next few days , night skies in Asia and Europe were <b> aglow </b> such that those in London could read a newspaper by their light ; it has been theorized that this was due to light passing through high-altitude ice particles formed at extremely cold temperatures , a phenomenon that occurs when the Space Shuttle re-enters the Earth 's atmosphere . In",1.8,0.11662084243361587,four_hundred.s.01,aglow.s.01,0.09614715635948592,four_hundred.s.01,aglow.s.01,0.348608904597568,compact_disk.n.01,aglow.s.01,0.41413118783331354,candle.n.02,aglow.s.01
3,4,Harvard,n,Yale,n,"received honorary doctorates from Nyenrode Business Universiteit , Breukelen , The Netherlands , in 2000 ; the Royal Institute of Technology , Stockholm , Sweden , in 2002 ; Waseda University , Tokyo , Japan , in 2005 ; Tsinghua University , Beijing , China , in April 2007 ; <b> Harvard </b> University in June 2007 ; the Karolinska Institutet , Stockholm , in January 2008 , and Cambridge University in June 2009 . He was also made an honorary trustee of Peking University in 2007 . Gates was also made an honorary Knight Commander of the Order of the British","at Thomas ' 1991 Senate confirmation hearings that her supervisor Thomas had made provocative and harassing sexual statements . Early career . Anita F. Hill was born in Lone Tree , Oklahoma . She received her undergraduate degree from Oklahoma State University in 1977 and her Juris Doctor degree from <b> Yale </b> Law School in 1980 . A professor of social policy , law , and women 's studies , Hill was admitted to the District of Columbia Bar in 1980 . Hill began her law career as an associate with the Washington , D.C. , firm of Wald , Harkrader",5.9,0.6117561511221591,harvard_university.n.01,yale.n.02,0.7886041690076194,harvard_university.n.01,yale_university.n.01,0.5355272909195352,harvard_university.n.01,yale.n.02,0.7459402078260143,harvard_university.n.01,yale.n.02
4,5,Harvard,n,Cambridge,n,", Jr. , Foundation for Mental Retardation International award ; 1972 Humanist of the Year Award , American Humanist Society ; 1972 Creative Leadership in Education Award , New York University ; 1972 Career Contribution Award , Massachusetts Psychological Association ; 1974-1990 Professor of Psychology and Social Relations Emeritus , <b> Harvard </b> University ; 1978 Distinguished Contributions to Educational Research Award and Development , American Educational Research Association ; 1978 National Association for Retarded Citizens Award ; 1985 Award for Excellence in Psychiatry , Albert Einstein School of Medicine ; 1985 President 's Award , New York Academy of Science ;","Geological Survey of Canada under the persuasion of trilobite expert Harry Blackmore Whittington , and a new quarry , the Raymond , was established about 20 metres higher up Fossil Ridge . Whittington , with the help of research students Derek Briggs and Simon Conway Morris of the University of <b> Cambridge </b> , began a thorough reassessment of the Burgess Shale , and revealed that the fauna represented were much more diverse and unusual than Walcott had recognized . Indeed , many of the animals present had bizarre anatomical features and only the sketchiest resemblance to other known animals . Examples",8.1,0.6028756697231971,harvard.n.02,cambridge.n.02,0.4848692500144642,harvard.n.02,cambridge.n.03,0.539547059153698,harvard.n.02,cambridge.n.03,0.5551763615818205,harvard_university.n.01,cambridge_university.n.01
5,6,Israel,n,east,n,"launch a surprise attack , vanquish the Moabites , and cast stones on their fields and block their springs . The Moabites are entrapped in a city , so the king , having failed to escape to get reinforcements , sacrifices his son to Chemosh . The sacrifice results in <b> Israel </b> being defeated . Jehoram later joins Ahaziah in battle against Aram , but while recovering from the wounds inflicted in the battle he is killed in a conspiracy , in which Ahaziah is also killed . When Elisha visits Shunem , an influential woman asks him to dine with","with the 1895 assassination of Empress Myeongseong and the 1905 Eulsa Treaty , and was completed with the 1910 Japan-Korea Annexation Treaty when Korea was formally annexed to the Japanese empire , see Korea under Japanese rule . Japan was now one of the most powerful forces in the Far <b> East </b> , and in 1914 , it entered World War I on the side of the United Kingdom , seizing German-occupied Kiaochow and subsequently demanding Chinese acceptance of Japanese political influence and territorial acquisitions ( Twenty-One Demands , 1915 ) . Mass protests in Peking in 1919 coupled with Allied",2.1,0.2758516635799282,israel.n.01,east.n.02,0.586135840406054,israel.n.02,east.n.03,0.6046508805066135,israel.n.02,east.r.01,0.06386181088602108,israel.n.01,east.a.01
6,7,Israel,n,Israeli,n,"pathogens are attached to silver and gold nanowires . In the Netherlands , the company TNO has designed Bioaerosol Single Particle Recognition eQuipment ( BiosparQ ) . This system would be implemented into the national response plan for bioweapons attacks in the Netherlands . Researchers at Ben Gurion University in <b> Israel </b> are developing a different device called the BioPen , essentially a "" Lab-in-a-Pen "" , which can detect known biological agents in under 20 minutes using an adaptation of the ELISA , a similar widely employed immunological technique , that in this case incorporates fiber optics . List of","1995 , Israeli folk singer Miri Aloni sang the Israeli pop song "" Shir Lashalom "" ( Song for Peace ) . This song , originally written in 1969 and performed extensively at the time by an Israeli military performing group , has become one of the anthems of the <b> Israeli </b> peace camp . During the Arab uprising known as the First Intifada , Israeli singer Si Heyman sang "" Yorim VeBokhim "" ( Shoot and Weep ) , written by Shalom Hanoch , to protest Israeli policy in the territories . This song was banned from the radio for",8.1,0.6263761486390852,israel.n.02,israeli.n.01,0.4892415095824212,israel.n.02,israeli.a.01,0.5006664961051346,israel.n.02,israeli.a.01,0.8130459831650763,israel.n.02,israeli.n.01
7,8,Japanese,n,American,n,"and World War II , Unit 731 of the Imperial Japanese Army conducted human experimentation on thousands , mostly Chinese , Russian , American prisoners . In military campaigns , the Japanese army used biological weapons on Chinese soldiers and civilians . For example , in 1940 , the Imperial <b> Japanese </b> Army Air Force bombed Ningbo with ceramic bombs full of fleas carrying the bubonic plague . A film showing this operation was seen by the imperial princes Tsuneyoshi Takeda and Takahito Mikasa during a screening made by mastermind Shiro Ishii . However , some operations were ineffective due to","level . Overall , the median earnings of African American men were 72 cents for every dollar earned of their Asian American counterparts , and $ 1.17 for every dollar earned by Hispanic men . On the other hand by 2006 , among American women with post-secondary education , African <b> American </b> women have made significant advances ; the median income of African American women was more than those of their Asian - , European - and Hispanic American counterparts with at least some college education . African Americans are still underrepresented in government and employment . In 1999 , the",4.0,0.4381885627792482,japanese.n.01,american.a.01,0.8541873609764262,japanese.a.01,american.a.01,0.651137557837666,japanese.n.02,american.a.01,0.38035897606167296,japanese.n.01,american.n.01
8,9,Jerusalem,n,Israel,n,"on them , paralleling . Thereafter , the apostles have the miraculous power to "" speak in tongues "" and when they address a crowd , each member of the crowd hears their speech in his own native language . Peter , along with John , preaches to many in <b> Jerusalem </b> , and performs many miracles such as healings , the casting out of evil spirits , and the raising of the dead . As a result , thousands convert to Early Christianity and are baptized . As their numbers increase , the Christians begin to be increasingly persecuted .","the majority of the grapes are harvested from the al-Khader area . The monastery 's wine production is around 700,000 liters per year . Tourism . Tourism is Bethlehem 's primary industry and unlike other Palestinian localities before 2000 , the majority of the working residents did not work in <b> Israel </b> . Over 25 % of the working population was employed directly or indirectly in the industry . Tourism accounts for approximately 65 % of the city 's economy and 11 % of the Palestinian National Authority . There are over thirty hotels in Bethlehem . Jacir Palace , built",8.2,0.5300303715853781,jerusalem.n.01,israel.n.01,0.6888866375126482,jerusalem.n.01,israel.n.02,0.7104047859937034,jerusalem.n.01,israel.n.02,0.6638747384126991,jerusalem.n.01,israel.n.02
9,10,Jerusalem,n,wall,n,"person traditionally believed to be the author of the Gospel of Mark . He was a native of Cyprus , where he possessed land ( Acts 4:36 , 37 ) , which he sold , and gave the proceeds to the church in Jerusalem . When Saint Paul returned to <b> Jerusalem </b> after his conversion , Barnabas took him and introduced him to the apostles ( 9:27 ) . Easton , in his Bible Dictionary , supposes that they had been fellow students in the school of Rabbi Gamaliel . The prosperity of the church at Antioch led the apostles and","The player may gain a bonus or penalty due to circumstances or character skill , usually either by a number added to or subtracted from the final result , or by having the player roll extra or fewer dice . For example , a character trying to climb a sheer <b> wall </b> may subtract from their dice roll ( known as a penalty ) if the wall is slippery , which simulates the increased difficulty of climbing a slickened surface , while a character using a rope may add to the roll ( known as a bonus ) to simulate that",0.3,0.1479006488942248,jerusalem.n.01,wall.n.01,0.3486527065299887,jerusalem.n.01,wall.n.01,0.3649075282434028,jerusalem.n.01,wall.n.03,0.21166675914855748,jerusalem.n.01,wall.v.01
